Workload,Input,Output,Cost
LinearRegressionWithSGD_1,30728.4444,28751.4685,6.0716716
LinearRegressionWithSGD_1,35849.6313,34165.6666,6.405493
LinearRegressionWithSGD_1,40970.4505,36633.2367,7.3670464
LinearRegressionWithSGD_1,46091.74,43912.6148,8.1205884
LinearRegressionWithSGD_1,51211.9455,48490.85,9.0213301
LinearRegressionWithSGD_1,56331.9498,47766.7332,9.4896318
LinearRegressionWithSGD_1,61452.9529,54743.3966,9.6187432
LinearRegressionWithSGD_1,66573.6668,60754.0631,9.3254633
LinearRegressionWithSGD_1,71693.5238,68069.9898,12.1478696
LinearRegressionWithSGD_1,76814.1234,75013.754,12.3157586
LinearRegressionWithSGD_1,81934.0444,81933.9625,13.6838689
LinearRegressionWithSGD_1,87054.3736,87054.2866,15.6654654
LinearRegressionWithSGD_1,92176.7925,92176.7003,16.7631905
LinearRegressionWithSGD_1,97296.0712,97295.9739,16.7117182
LinearRegressionWithSGD_1,102417.2407,102417.1383,17.1772865
LDA_1,256.344,256.4824,1.1581474
LDA_1,514.3045,514.612,1.1766573
LDA_1,773.8073,774.2871,1.2155149
LDA_1,1036.1995,1036.8502,1.2382632
LDA_1,1294.7749,1295.5971,1.2688157
LDA_1,1550.8276,1551.8202,1.2951409
LDA_1,1806.1439,1669.7205,1.3217924
LDA_1,2068.1134,1669.3356,1.3341364
LDA_1,2326.7611,2089.4803,1.3945574
LDA_1,2584.7791,2505.6693,1.3744359
LDA_1,2842.0954,2502.3798,1.4173146
LDA_1,3091.0912,2903.6227,1.3481037
LDA_1,3373.7122,2933.7667,1.4651807
LDA_1,3627.1916,3334.2088,1.4935455
LDA_1,3878.7722,3748.5618,1.451254
LDA_1,4126.45,3717.787,1.6306807
LDA_1,4393.3111,4133.3501,1.5654677
LDA_1,4640.4472,4146.4809,1.5448404
LDA_1,4918.3005,4546.777,1.6132555
LDA_1,5164.0907,4941.6113,1.5650771
Gradient_1,51.2654,51.2596,1.1566337
Gradient_1,102.4663,102.4605,1.2100879
Gradient_1,153.6672,153.6613,1.1613211
Gradient_1,204.868,204.8623,1.1584971
Gradient_1,256.0613,256.0554,1.2541064
Gradient_1,307.2621,307.2563,1.2500269
Gradient_1,358.463,358.4573,1.2896359
Gradient_1,409.6639,409.6581,1.2871674
Gradient_1,460.8647,460.8587,1.2314059
Gradient_1,512.0656,512.06,1.5166164
Gradient_1,563.2665,563.2608,3.7305157
Gradient_1,614.4673,614.4618,1.9643625
Gradient_1,665.6682,665.6622,1.5999059
Gradient_1,716.8614,716.8557,2.1345209
Gradient_1,768.0623,768.0562,4.1800723
Gradient_1,819.2632,819.2574,2.4740187
Gradient_1,870.464,870.4579,2.2807687
Gradient_1,921.6649,921.6594,3.882915
Gradient_1,972.8658,972.8599,2.6511291
Gradient_1,1024.0666,1024.0605,2.0903501
ALS_1,51.2736,51.3054,1.0375244
ALS_1,102.1701,102.2049,1.0770155
ALS_1,153.2462,153.2799,1.0132946
ALS_1,203.8566,203.8902,1.0052786
ALS_1,255.3103,255.3451,1.035915
ALS_1,306.4574,306.4933,1.0797765
ALS_1,357.5599,357.596,1.1059594
ALS_1,409.0388,409.0728,1.0986291
ALS_1,458.5586,458.5907,1.0680933
ALS_1,509.3703,509.4019,1.1337957
ALS_1,561.7476,561.7819,1.082359
ALS_1,613.6271,613.6609,1.0890103
ALS_1,664.4881,664.5213,1.0769291
ALS_1,715.6352,715.6688,1.1124016
ALS_1,767.842,767.8758,1.1393987
ALS_1,818.4775,818.5119,1.1425487
ALS_1,868.7068,868.7407,1.1224909
ALS_1,919.3778,919.4118,1.112509
ALS_1,971.7643,971.7993,1.1439822
ALS_1,1020.357,1020.3907,1.1265934
